콘텐츠명,노키즈존,예약가능여부,룸보유여부,유아서비스기타,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,대표메뉴기타
도을,y,n,,,11:00,16:00,11:00,16:00,,,
옛정의골 식당,,,,,,,,,,,
동북왕,,,,,11:00,21:00,11:00,21:00,,,
블리스풀,n,n,,,11:00,23:00,11:00,19:00,,,
등경돌식당,,,,,08:00,21:00,08:00,21:00,,,
오라숲소리,,,,,09:00,21:00,09:00,21:00,,,
우림일식,,,,,11:30,22:00,11:30,22:00,,,
송악산 엉클스 화덕 피자,,,,,11:00,20:00,11:00,20:00,,,
담아래,n,,,,11:00,16:00,11:00,16:00,,,
아라파파 a la papa,,,,,08:00,21:00,08:00,21:00,,,
순희뽀글이,,,,,07:00,17:00,07:00,17:00,,,
승범이네집,,,,,11:00,23:00,11:00,23:00,,,
퍼시픽 리솜 엘마리노 뷔페,,y,,,12:00,20:00,12:00,20:00,,,
절물자연휴양림휴게소,y,n,,,08:00,18:00,08:00,18:00,,,"음료, 스낵, 어묵리카노"
동양식당,,,,,08:00,21:00,08:00,21:00,,,
카페루나,,,,,10:00,20:00,10:00,20:00,,,
안거리밖거리,,,,,08:30,20:40,08:30,20:40,,,
고벤져스(본점),,,,,15:00,01:00,15:00,01:00,,,
비어라운드(Be around),,,,,10:00,20:00,10:00,20:00,,,
우도꽃길,,y,,,09:30,18:00,09:30,18:00,,,수제우도땅콩 빅 더블버거
북카페 휴일,,,,,10:00,22:00,10:00,22:00,,,
시도,,y,,,10:00,21:00,10:00,21:00,,,
슬로우카페,,,,,10:00,21:00,10:00,21:00,,,
백기해녀의 집,,,,,07:30,17:00,07:30,17:00,,,
평화로한식뷔페,,,,,11:00,15:00,11:00,15:00,,,한식뷔페
하얀산호식당,,,,,,,,,,,
킴스커틀렛,y,y,,,11:00,21:30,11:00,21:30,,,"샐러드돈까스, 해물볶음우동, 왕돈까스"
날것,,,,,16:00,02:00,16:00,02:00,,,
중문대들보,,,,,08:30,21:00,08:30,21:00,,,
마라톤식당,,,,,08:00,20:00,08:00,20:00,,,
스시우다,,,,,12:00,22:00,12:00,22:00,,,
친구네 분식,,,,,09:00,20:00,09:00,20:00,,,
꼬라지오(폐업),y,n,,,09:00,17:00,09:00,17:00,,,
피갈회옥,y,,,,12:00,22:00,12:00,22:00,,,
그리울땐제주,y,,,,10:00,18:00,10:00,18:00,,,
웰컴식당,y,y,y,,09:00,23:30,21:00,07:30,0:00,0:00,
원조마라도짜장면,,,,,10:20,16:00,10:20,16:00,,,
서바당횟집,,,,,10:00,15:30,10:00,15:30,,,
선흘방주할머니식당,,,,,10:00,19:00,10:00,19:00,,,
카페코지,,,,,09:00,21:00,09:00,21:00,,,
갈치 카페,,,,,,,,,,,
연정식당,,,,,09:00,21:00,09:00,21:00,,,
다금바리스타,,,,,10:00,21:00,10:00,21:00,,,
허브팜카페,,,,,10:00,21:00,10:00,21:00,,,
제주도원가든,y,y,y,,11:00,21:00,11:00,21:00,,,장어덮밥
해오름정육식당,,,,,12:00,22:00,12:00,22:00,,,
키다리아저씨,,,,,09:00,17:00,09:00,17:00,,,
오조파스타앤피자,,,,,11:30,21:30,11:30,21:30,,,
루스트플레이스 제원점,,,,,11:00,00:00,11:00,00:00,,,
맛좋은디,,,,,,,,,,,
망고홀릭 제주본점,,,,,10:00,22:00,10:00,22:00,,,
타이웍,y,,,,11:30,22:00,11:30,22:00,,,"뿌빳퐁커리, 새우팟타이, 소고기쌀국수"
바르왓,,,,,10:30,16:00,10:30,16:00,,,
제주이야기,,,,,10:00,17:00,09:00,17:00,,,
백양닭집,,,,,08:00,20:30,08:00,20:30,,,
최고집,,,,,16:00,23:00,16:00,23:00,,,
유기농커피 카페다,,,,,08:00,23:00,08:00,23:00,,,
중복__________________수정,,,,,09:00,18:00,09:00,18:00,,,
아싸횟집,,,,,11:30,23:30,11:30,23:30,,,
잔디가미,,,,,09:00,18:00,09:00,18:00,,,
키친오브꾸르다기,,,,,18:00,01:00,18:00,01:00,,,
바위소리,,,,,08:30,00:00,08:30,00:00,,,
제주회포장,,,,,15:00,23:00,15:00,23:00,,,
우연못,,,,,12:00,19:00,12:00,19:00,,,
윤비자,,,,,11:00,02:00,11:00,02:00,,,
윤식당,,,,,13:30,21:30,12:30,21:30,,,
판포분식,,,,,11:30,18:30,11:30,18:30,,,
허브랑,,,,,10:30,21:00,10:30,21:00,,,
그림상회,,,,,13:00,17:00,,,,,
유다제주요코초,,,,,18:00,02:00,18:00,02:00,,,모듬꼬치 등
뉴저지카페,,,,,11:00,21:00,11:00,21:00,,,
카페제주동네,,,,,10:00,16:30,10:00,16:30,,,
삼일식당,,,,,06:00,14:00,06:00,14:00,,,
문사기름집(유형 잘못기재),,,,,,,,,,,
제주토속,,,,,06:00,18:30,06:00,18:30,,,
월정리에서브런치,,,,,09:00,17:20,09:00,17:20,,,
바람카페,,,,,12:00,18:00,12:00,18:00,,,
라반,,,,,11:00,01:00,11:00,01:00,,,
새벽숯불가든,,,,,17:00,22:00,17:00,22:00,,,
빠라빠빵,,,,,11:00,22:00,11:00,22:00,,,
제주백정,,,,,12:00,23:55,12:00,23:55,,,
천해천,,,,,11:00,22:00,11:00,22:00,,,
바움하우스,,,,,09:30,21:00,09:30,21:00,,,
루스트플레이스 시청점,,,,,11:00,23:00,11:00,23:00,,,
해이당,y,y,n,숟가락 포크,11:00,20:00,11:00,20:00,,,"제주명품해물장, 아롱사태수육"
루스트플레이스 아이파크점,,,,,11:00,22:00,11:00,22:00,,,
키친그듸,,,,,11:00,21:00,11:00,21:00,,,
빠빠라기,,,,,18:00,22:00,18:00,22:00,,,
황금륭 버거,,,,,09:30,19:00,09:30,19:00,,,
79대포 제주화순점,,y,,,18:00,00:00,18:00,00:00,,,
제주 바닷가의 나루터,,,,,08:00,21:00,08:00,21:00,,,
노조미,,,,,11:00,20:00,11:00,20:00,,,
웨이브리스,,,,,09:00,20:00,09:00,20:00,,,
베이비리프캠프,y,y,,,09:00,16:00,09:00,16:00,,,브런치
코코부코,,,,,,,,,,,
밥빠,,,,,10:00,20:00,10:00,20:00,,,
비올레,,,,,11:30,20:00,11:30,20:00,,,
제주뚝배기,,y,,,06:10,19:30,06:10,19:30,,,성게국
석촌식당,,,,,09:00,21:00,09:00,21:00,,,
리스투아,,,,,12:00,00:00,12:00,00:00,,,
제주삼춘도넛 성산점,,,,,09:00,18:00,09:00,18:00,,,
종종캐주얼다이닝,,y,,,11:00,22:00,11:00,15:00,,,
매기의 추억,,,,,09:00,20:00,09:00,20:00,,,
올레삼다정,,,,,11:00,22:00,11:00,22:00,,,
레이식당,n,,,,11:30,22:00,11:30,22:00,,,
하록,,,,,10:30,19:30,10:30,19:30,,,
미엘드세화,,,,,10:00,18:00,10:00,18:00,,,"미엘커피, 당근케이크, 생크림케이크"
카페 공회당,,y,,,14:00,00:00,14:00,00:00,,,
리치망고 도두해안로점,y,y,,,10:00,20:00,10:00,20:00,,,"스페셜망고쉐이크, 코코넛애플망고쉐이크"
삼일해장국,y,n,,,07:00,13:20,07:00,13:20,,,"해장국, 소내장탕"
제주해물밥,,,,,10:00,21:00,10:00,21:00,,,
제스피,,,,,18:00,01:00,18:00,01:00,,,
제주흑돈세상수라간,,,,,12:00,22:00,12:00,22:00,,,
중문신라원,,,,,10:30,22:00,10:30,22:00,,,
지중해그릴,,,,,11:00,22:00,11:00,22:00,,,
옛날동문시장칼국수,,,,,11:00,20:00,11:00,20:00,,,
깅코,y,n,,,10:00,19:00,10:00,19:00,,,
사려니숲길화덕피자,,,,,11:30,19:00,11:30,19:00,,,
칠사돈,,,,,12:00,22:00,12:00,22:00,,,
다가미(도남),,,,,07:00,15:00,07:00,15:00,,,
성아시,,,,,11:30,22:00,11:30,22:00,,,
앤트러사이트,,,,,09:00,18:00,09:00,18:00,,,
명진전복,,,,,09:30,20:30,09:30,20:30,,,
돌코롬허니,,,,,,,,,,,
귤꽃,,,,,12:00,18:00,12:00,18:00,,,
성안식당,,,,,08:00,21:00,08:00,21:00,,,
미인계 카페,,,,,,,,,,,
다람쥐 식탁,,,,,11:00,19:00,11:00,19:00,,,
카페힐스,y,n,,,06:00,22:00,06:00,22:00,,,
COOK FATHER(쿡파더),,,,,10:00,22:00,10:00,22:00,,,
다육이풍경,,,,,10:00,18:00,10:00,18:00,,,
김희선제주몸국,,,,,07:30,17:00,07:30,15:00,,,
착한마녀김밥,,,,,07:00,20:00,07:00,20:00,,,
한우네백년해장국,,,,,06:00,22:00,06:00,22:00,,,
바다어사또,,,,,11:00,22:00,11:00,22:00,,,
커피앤빵,,,,,08:30,20:30,08:30,20:30,,,
행복미가,,,,,11:00,21:00,11:00,21:00,,,
오드랑베이커리,,,,,07:00,22:00,07:00,22:00,,,
복단지식당,,,,,,,,,,,
웃뜨리,,,,,08:00,19:00,08:00,19:00,,,
제주전복이야기,,,,,09:00,21:00,09:00,21:00,,,
제주삼다국수,,,,,10:00,22:00,10:00,22:00,,,
천제연토속음식점,,,,,09:00,20:00,09:00,20:00,,,
루스트플레이스 베라체점,,,,,11:00,23:00,11:00,23:00,,,
루스트플레이스 서귀포점,,,,,11:00,23:00,11:00,23:00,,,
누룽지식당,,,,,10:30,21:00,10:30,21:00,,,
파리바게트 제스코본점,,,,,07:00,23:00,07:00,23:00,,,
쉬는팡가든,,,,,11:00,21:00,11:00,21:00,,,
파리바게트 애월,,,,,07:00,22:00,07:00,22:00,,,
제주올레횟집,,,,,16:00,22:30,16:00,22:30,,,
월령203,,,,,11:00,19:00,,,,,
베지그랑,,,,,12:00,20:00,12:00,20:00,,,
만부정,,,,,08:00,21:30,08:00,21:30,,,
리치망고,,,,,10:00,18:30,10:00,18:30,,,
앞뱅디식당,,,,,09:00,21:00,09:00,21:00,,,
애월리안,,,,,10:30,15:00,10:30,21:00,,,
제주올레섬,,,,,10:00,22:00,10:00,22:00,,,
만덕삼계탕,,,,,08:00,23:00,08:00,23:00,,,
리버브제주,,,,,10:00,21:00,10:00,21:00,,,
메밀밭에가시리 일도점,,,,,11:00,21:00,11:00,21:00,,,
아오리의 행방불명,,n,,,11:30,19:00,11:30,19:00,,,"아오리라멘 Lite 8,000 아오리라멘 10,000 미소라멘 10,000 토핑 별도"
우진해장국,,,,,06:00,22:00,06:00,22:00,,,
시원하당,y,y,n,,10:00,16:00,10:00,16:00,,,피타샌드위치 및 수제청 음료
소울키친,,,,,11:00,17:00,11:00,17:00,,,
구이향연동점,,,,,11:00,23:00,17:00,23:00,,,
평대성게국수,,,,,10:00,18:00,10:00,18:00,,,
에스프레소 라운지,,,,,09:00,00:00,09:00,00:00,,,
경성통닭,,,,,07:00,21:00,07:00,21:00,,,
꽃향유,,,,,10:00,19:00,10:00,19:00,,,
돈가,,,,,11:00,21:30,11:00,21:30,,,
정서방해물뚝배기,,,,,07:00,21:00,07:00,21:00,,,
옹포횟집,,,,,11:00,22:00,11:00,22:00,,,
해원횟집,,y,,,10:00,21:30,10:00,21:30,,,
코스튼 커피,,,,,12:00,22:00,12:00,22:00,,,
청춘이오란다 동문시장본점,,,,,09:00,20:00,09:00,20:00,,,
마초그릴,,,,,11:30,22:00,11:30,22:00,,,
파니야그릴,y,n,,,11:00,21:00,11:00,21:00,,,"생삽겹철판볶음밥,송화고철판볶음밥,해물철판볶음"
난산리다방,y,y,,,09:30,16:00,09:30,16:00,,,"흑돼지 풀드포크 오픈 샌드위치 훈제연어 오픈샌드위치, 버섯크림스프, 그래놀라운 토마토"
제주한면가,,,,,10:30,15:30,10:30,19:00,,,
"되도록 채식, 칠분의오",,,,,11:00,20:00,11:00,20:00,,,
동복리해녀촌,,,,,09:00,19:00,09:00,19:00,,,
에릭스에스프레소 카페,,,,,,,,,,,
나원회포차,,,,,17:00,23:00,17:00,23:00,,,
제주담한식뷔페 구좌송당,,,,,11:30,15:00,11:30,15:00,,,
어멍밥상,,,,,08:00,20:00,08:00,20:00,,,
하몽인제주,,,,,,,,,,,
중문덤장,,,,,08:00,21:00,08:00,21:00,,,
하와유제주,,,,,10:00,17:00,10:00,17:00,,,
박장군,,,,,,,,,,,
이오리,,,,,10:00,21:00,10:00,21:00,,,
루피카페,,,,,,,,,,,
평대랑 그네랑,,,,,11:50,19:00,11:50,19:00,,,
산방서림,,,,,09:00,20:00,09:00,20:00,,,
일오삼가든,,,,,16:30,22:00,16:30,22:00,,,
루스트플레이스 삼화점,,,,,11:00,21:30,11:00,21:30,,,
황금무지개뜨는곳,,,,,11:30,21:00,11:30,21:00,,,
어부피자,,,,,11:00,18:00,11:00,18:00,,,
시골길,,,,,12:00,20:30,,,,,낙지볶음
숲속의작은집,,,,,,,,,,,
카페 소바니,,,,,11:00,22:00,11:00,22:00,,,
망고레이 함덕점,,,,,10:00,21:00,10:00,21:00,,,
알라스카인제주 협재점,,,,,,,,,,,
우유부단 크림공작소,,,,,10:00,18:00,10:00,18:00,,,
정성듬뿍 제주국,,,,,10:00,20:30,10:00,15:00,,,
조끌락,,,,,11:00,19:00,11:00,19:00,,,
커피로카,,,,,09:00,22:00,12:00,22:00,,,
그대와함께라면,,y,,,09:00,21:30,09:00,21:30,,,
달빛머금은카페,,,,,10:00,21:30,10:00,21:30,,,
맛있수다,,,,,11:30,23:00,11:30,23:00,,,
서귀포바당물회,,,,,11:00,22:30,11:00,22:30,,,
두가시의 부엌,,y,n,,11:30,21:00,11:30,21:00,,,
유나카페,,,,,11:00,18:00,11:00,18:00,,,
석다원,,,,,10:00,17:00,10:00,17:00,,,
추억의 집,,,,,10:30,21:00,10:30,21:00,,,
하도리1091,n,n,,,11:00,20:00,11:00,20:00,,,
국수바다 본점,,,,,08:00,21:00,08:00,21:00,,,
쓰담뜨담,,,,,10:00,18:00,10:00,18:00,,,
도다모,,y,,,11:30,00:00,11:30,00:00,,,
모슬포에서,,,,,10:00,18:00,10:00,18:00,,,
봄날카페,,,,,09:00,21:30,09:00,21:30,,,
우도해녀행심이네,,,,,12:00,18:00,12:00,18:00,,,
순심이네한우흑돼지,,,,,10:00,22:00,10:00,22:00,,,
도토리키친,,,,,10:30,16:30,10:30,16:30,,,
시영통닭,,,,,10:00,21:30,10:00,21:30,,,
교래흑돼지,,,,,11:00,21:00,11:00,21:00,,,
대니스카페,,,,,10:00,18:00,10:00,18:00,,,
신촌덕인당,,,,,09:00,17:30,09:00,17:30,,,"보리빵, 쑥단팥빵, 팥보리빵"
제주광어씨푸드레스토랑 표선점,,,,,11:00,22:00,11:00,22:00,,,
우도다방 돼지네땅콩손만두,,,,,09:00,17:00,09:00,17:00,,,
탐나는닭,,,,,16:30,00:00,16:30,00:00,,,
얌얌키친,,,,,11:00,21:00,11:00,21:00,,,
카페멘도롱,,,,,11:00,23:00,11:00,23:00,,,
아꼬떼카페,,,,,,,,,,,
세컨드밀,,,,,09:30,20:00,09:30,20:00,,,
주상절리회국수,,,,,10:00,20:00,10:00,20:00,,,
써니하우스 커피&핫도그,,,,,08:30,19:00,08:30,19:00,,,
돈채,,,,,10:30,21:00,10:30,21:00,,,
리치망고우도점,,,,,09:00,18:00,09:00,18:00,,,
삼바리회센타,,,,,11:00,23:00,11:00,23:00,,,
진대감12제주,,,,,11:30,22:00,11:30,22:00,,,
만세국수 삼성혈점,,,,,09:00,05:00,09:00,05:00,,,
소길역,,,,,17:30,21:00,17:30,21:00,,,
유리네식당,,,,,09:00,21:00,09:00,21:00,,,
다소니,,y,,,11:00,21:00,11:00,21:00,,,
쉬멍,,,,,09:30,18:30,09:30,18:30,,,
한라산빵 1950,,,,,11:00,18:00,11:00,18:00,,,
문동일고사리육개장,,,,,09:30,17:00,09:30,17:00,,,
우도동식이,,,,,,,,,,,
우무깨식당,,,,,,,,,,,
앙뚜아네트 탑동점,,,,,10:00,00:00,09:00,00:00,,,
우정횟집,,,,,10:00,22:00,10:00,22:00,,,
바농,,,,,11:00,23:00,10:30,23:00,,,
우도에서썸타,,,,,09:00,18:00,09:00,18:00,,,
우정원베이커리 제주삼나무점,,,,,,,,,,,
백마가든,,,,,11:00,21:30,11:00,21:30,,,
올댓제주,,,,,18:00,00:00,18:00,00:00,,,
귤하르방,,,,,,,,,,,
카페소금,,,,,10:00,22:00,10:00,22:00,,,
섬소나이,,,,,09:30,17:00,09:30,17:00,,,
카페태희,,,,,10:00,21:00,10:00,21:00,,,
가야아구찜,,,,,11:00,22:00,11:00,22:00,,,
성미가든,,,,,11:00,20:00,11:00,20:00,,,
도두반점,,,,,11:30,22:00,11:30,22:00,,,
어머니닭집,,,,,10:00,21:00,10:00,21:00,,,
아찌국밥,,y,,,09:00,22:30,09:00,22:30,,,
웬드구니,,,,,09:30,20:00,09:30,20:00,,,
수모루국수,,,,,10:00,20:00,,,,,
88버거 제주공항점,,,,,10:30,19:30,10:30,19:30,,,
한라네 김밥,,,,,06:30,16:00,06:30,16:00,,,
돈대장,,,,,11:00,23:00,11:00,23:00,,,
제주게러지바 ,y,y,n,,13:00,23:30,13:00,23:30,,,순살치킨 
더핀란드,,,,,11:30,21:00,11:30,21:00,,,
네모랑,,,,,11:00,18:00,11:00,18:00,,,
우도아름다운소풍,,,,,10:00,18:00,10:00,18:00,,,
가을다방,,,,,10:00,18:30,10:00,18:30,,,
핫덕이,,,,,09:00,22:00,09:00,22:00,,,
한끼국밥 하귀외도점,,,,,10:00,22:00,10:00,22:00,,,
춘미향 식당,,,,,11:30,21:00,11:30,21:00,,,
우도해광식당,,,,,09:30,20:00,09:30,20:00,,,
우도자연,,,,,08:00,20:00,08:00,20:00,,,
봉자커피 봉개점,,,,,,,,,,,
산방식당(모슬포본점),,,,,11:00,18:00,11:00,18:00,,,
우도일출해올레가든,,,,,10:00,22:00,10:00,22:00,,,
아웃도어키친,,,,,12:00,22:00,12:00,22:00,,,
블루하우스,,,,,10:00,20:00,10:00,20:00,,,
거기제주,,,,,10:00,17:00,10:00,17:00,,,
내담,,,,,11:00,21:30,12:00,21:30,,,
중문해녀의집,,,,,08:00,18:00,08:00,18:00,,,
메리앤폴,,,,,10:30,21:00,10:30,21:00,,,
오라오거리정식,,,,,08:00,20:00,08:00,20:00,,,
경미해장국,y,y,n,,06:00,15:00,06:00,15:00,,,해장국 내장탕
목포고을,,,,,12:00,22:30,12:00,22:30,,,
국수장터,,,,,11:00,02:00,11:00,02:00,,,
물고기카페,,,,,12:00,21:00,12:00,21:00,,,
하우스레서피,,,,,10:00,19:00,10:00,19:00,,,
만선식당,y,n,,,10:00,21:00,10:00,21:00,,,"고등어회, 고등어조림, 갈치조림, 돼지산적"
구좌상회,,,,,10:30,18:30,10:30,18:30,,,
사계제과 신제주점,,y,,,11:00,18:30,11:00,18:30,,,
몬떼마레,,,,,11:30,21:00,11:30,21:00,,,
복댕이,,,,,13:00,23:00,13:00,23:00,,,
해녀고기,,y,,,12:00,21:30,12:00,21:30,,,
미영이네,,,,,11:30,22:00,11:30,22:00,,,
우도씨,,,,,09:30,18:00,09:30,18:00,,,
나우카페 제주,,,,,09:00,19:00,09:00,19:00,,,
웃뜨리 2호점,y,,,,10:00,19:00,10:00,19:00,,,
하빌리스,,,,,11:00,19:20,11:00,19:20,,,
바람개비,,,,,09:30,21:30,09:30,21:30,,,
에이팩토리 커피앤북스,,,,,08:30,19:00,08:30,19:00,,,
우도앤살레,,,,,09:30,18:00,09:30,18:00,,,
물꼬해녀의집,y,n,,,08:00,20:00,08:00,20:00,,,"문어라면, 해물칼국수, 보말죽, 전복죽, 뿔소라회 "
제주분식,,,,,09:30,16:00,09:30,16:00,,,
달마야해물탕,,,,,11:30,22:00,11:30,22:00,,,
가시아방,,,,,10:00,20:30,10:00,20:30,,,
차귀놀,,,,,09:00,20:00,09:00,20:00,,,
카고크루즈,,,,,10:30,17:00,10:30,17:00,,,
크리메이트,,,,,12:00,21:00,12:00,21:00,,,
한라통닭,,,,,10:00,21:00,10:00,21:00,,,
연동국수가게,,,,,11:00,22:00,,,,,
올래국수,,,,,08:00,15:00,08:00,15:00,,,
올레7돈 (올레칠돈),,,,,12:30,22:00,12:30,22:00,,,
제주 강남해물탕,,,,,08:00,20:00,08:00,20:00,,,
대한목장,,,,,,,,,,,
말이,,,,,11:00,22:00,11:00,22:00,,,
노라바,,,,,10:00,17:00,10:00,17:00,,,
달그리안,,,,,10:00,16:00,10:00,16:00,,,
섭지코지화덕피자,y,n,n,,11:00,20:00,11:00,20:00,,,흑돼지화덕피자 & 해물파스타
수다뜰,,,,,09:30,21:00,09:30,21:00,,,
바다의술책,,,,,10:00,19:00,10:00,19:00,,,
참이쁜돼지,,,,,16:00,22:30,16:00,22:30,,,
호박다방,,,,,10:00,20:00,10:00,20:00,,,
핸즈키친,,,,,11:30,15:00,11:30,15:00,,,
갈치관,y,y,n,,10:00,21:00,10:00,21:00,,,"갈치조림 , 갈치구이 , 전복죽 , 전복솥밥 , 전복미역국 , 전복구이"
창화당 서귀포점,,,,,11:00,21:00,11:00,21:00,,,
문화통닭,,y,,,16:00,22:30,16:00,22:30,,,"후라이드치킨, 간장날개, 양념치킨, 닭강정"
망고홀릭 법환점,,,,,11:00,22:00,11:00,22:00,,,
흑돼지킹생구이전문점,,,,,,,,,,,
찰리아저씨맛집,y,y,,,08:00,19:00,08:00,19:00,,,
호돌이식당,,,,,09:00,15:20,09:00,15:20,,,
코코마마,,,,,11:00,20:30,11:00,20:30,,,
수니테이블,,,,,11:00,19:00,11:00,19:00,,,
어진이네 횟집,y,y,,,10:00,21:00,10:00,21:00,,,"자리물회, 한치물회"
자카르타,,,,,11:00,21:00,11:00,21:00,,,
올레 할망집,,,,,12:00,21:00,12:00,21:00,,,
끌림,,,,,11:00,00:00,11:00,00:00,,,
빨간모자마법사,,,,,09:00,21:00,09:00,21:00,,,
제주설심당 본점,y,n,,,11:00,22:00,11:00,22:00,,,"제주설심당빙수, 제주설심당호떡"
용출횟집,,,,,12:00,21:00,12:00,21:00,,,
스시호시카이,,,,,12:00,21:00,12:00,21:00,,,
대우정,,,,,09:00,20:30,09:00,20:30,,,
섭지해녀의집,,,,,07:30,18:30,07:30,18:30,,,
LMNT,,,,,11:00,22:00,11:00,22:00,,,
엘리엇스체어,,,,,,,,,,,
고래라면,,,,,09:00,18:00,09:00,18:00,,,
번개피자,,,,,09:30,17:00,09:30,17:00,,,
보물섬(대정),,,,,11:00,19:30,11:00,19:30,,,
홍조바다,,,,,08:00,18:00,08:00,18:00,,,
커피주의보,,,,,11:00,22:00,11:00,22:00,,,
중복______________________________________삭제,,,,,17:00,22:00,17:00,22:00,,,
저스트쉬림프,,,,,11:00,22:00,11:00,22:00,,,
태광식당,,,,,10:30,21:40,10:30,21:40,,,
대성아귀찜,,y,,,10:30,20:30,10:30,20:30,,,
카페숑,,,,,09:30,18:00,09:30,18:00,,,
윌라라,,,,,12:00,23:30,12:00,23:30,,,
커피코알라,,,,,09:00,18:00,09:00,18:00,,,
냠냠제주,,,,,,,,,,,
초밥군커피씨,,,,,11:00,14:00,11:00,14:00,,,
라운지엑스 애월점,y,n,,,09:00,18:20,09:00,18:20,,,"로봇드립커피, 제주블렌드, 우도땅콩플랫"
불만나,,,,,11:00,22:00,11:00,22:00,,,
제주미향,,,,,09:30,22:00,09:30,22:00,,,
야야카페,,,,,08:30,19:00,08:30,19:00,,,
월정리로와,,,,,09:00,20:00,09:00,20:00,,,
겹겹의 의도,,,,,11:00,19:00,11:00,19:00,,,
엄마야누나야,,,,,08:00,20:00,08:00,20:00,,,
카페 다결,,,,,10:30,17:30,10:30,17:30,,,
제니스브레드,,,,,,,,,,,
jival 지발,,,,,12:00,20:30,12:00,20:30,,,
쇠소깍오메기식당,,y,,,10:00,21:00,10:00,21:00,,,
섭지코지 해녀밥상,,,,,10:00,19:30,10:00,19:30,,,
햇살가득돌담집,,,,,09:00,21:00,09:00,21:00,,,
킨지,,,,,11:30,21:30,11:30,21:30,,,
함쉐프 키친,,,,,11:30,21:00,11:30,21:00,,,
미풍해장국 코스모스점,,y,,,05:30,15:00,05:30,15:00,,,
소노벨제주 어멍,,,,,11:30,21:00,11:30,21:00,,,
레터스 투 시리얼,,,,,12:30,20:30,12:30,20:30,,,
옥돔식당 ,,,,,11:00,16:00,11:00,16:00,,,
곤경에빠진버거,,,,,10:30,16:30,10:30,16:30,,,
해뜰,,,,,11:00,18:00,11:00,18:00,,,
산도롱맨도롱,y,y,,,08:30,19:30,08:30,19:30,,,"홍갈비국수, 백갈비국수"
제주돌담촌,,,,,11:00,23:00,11:00,23:00,,,
골목카페옥수,n,n,,,11:00,18:00,11:00,18:00,,,"할매라떼, 옥수페너"
효은디저트 산방산카페점,,y,,,11:00,20:00,11:00,20:00,,,
남또리,,,,,11:00,00:00,11:00,00:00,,,
대박국수,,,,,11:00,21:00,11:00,21:00,,,
레드썬셋,,,,,09:00,22:00,09:00,22:00,,,
파파야 수제버거,,,,,11:00,19:00,11:00,19:00,,,
안나의촐라체,,,,,11:00,21:30,11:00,21:30,,,
에프터글로우,y,n,,,09:00,19:00,09:00,19:00,,,"바닐라빈 라떼, 모카멜랑지, 아인슈페너"
빨간머리앤의집(초콜릿뮤지엄),,,,,10:00,16:30,10:00,16:30,,,
세화카페텐더럽,,y,,,11:00,20:00,11:00,20:00,,,
곰막식당,,,,,09:30,21:00,09:30,21:00,,,
마트리모니오,y,y,n,,08:30,20:00,08:30,20:00,,,브런치 파스타 리조또 뇨끼
귀덕간식,,,,,,,,,,,
라붕제주 cafe,,,,,,,,,,,
삼성혈해물탕,,,,,10:00,21:00,10:00,21:00,,,
허파곶자왈화덕피자,,,,,11:00,20:30,11:00,20:30,,,
몬스터살롱,,,,,10:00,19:00,10:00,19:00,,,
미자뷔페,,,,,10:30,16:00,10:30,16:00,,,
쭈니창고,,,,,11:00,19:00,11:00,19:00,,,
피노,,,,,11:30,20:30,11:30,20:30,,,
아톰스낵,,,,,11:00,19:30,11:00,19:30,,,
알라모,,,,,10:00,22:00,10:00,22:00,,,
피자아일랜드,,,,,10:00,22:00,10:00,22:00,,,
제주올레면옥,,,,,10:30,20:30,10:30,20:30,15:00,16:00,
서광춘희,,,,,11:00,20:00,11:00,20:00,,,
제주감귤호떡집,,,,,11:30,19:00,11:30,19:00,,,
오버더센스,y,y,,,09:30,18:00,10:00,16:00,,,"갈레트, 키쉬, 아인슈페너, 특제 마제소바, 듁스 아메리카노 "
슬슬슬로우,,,,,11:30,19:00,11:30,19:00,,,
망고홀릭 성산일출봉점,,,,,11:00,23:00,11:00,23:00,,,
도가촌,,,,,17:00,23:00,17:00,23:00,,,
아일랜드팩토리 풍류,,,,,10:00,20:00,10:00,20:00,,,
카페콜라,,,,,10:00,18:00,10:00,18:00,,,
중앙식당,,,,,06:00,20:00,06:00,20:00,,,
짱아저씨,,y,,,10:00,21:00,10:00,21:00,,,
김녕제주흑돼지정육점식당,,,,,10:30,21:30,10:30,21:30,,,
제주도그릴,,,,,12:30,22:00,12:30,22:00,,,
오일등식당,,,,,08:30,15:00,08:30,15:00,,,
비포크비스트로,,y,,,10:00,20:00,10:00,20:00,,,
포도호텔레스토랑,,,,,06:30,21:50,06:30,21:50,,,
수복강녕,,y,,,11:00,16:00,11:00,15:00,,,떡갈비
맥반석 식당,,,,,07:00,19:00,07:00,19:00,,,
청운식당,,y,,,09:00,20:40,09:00,20:40,,,
돌담넘는고양이,y,y,,,17:00,21:00,17:00,21:00,,,
제주김만복(만복이네김밥집),,,,,08:00,20:30,08:00,20:30,,,
남양수산,,,,,14:00,21:00,14:00,21:00,,,
금악리 자양식당,,,,,10:30,15:30,10:30,15:30,,,
봉you,y,y,,,10:30,20:00,10:30,20:00,,,"흑돼지 참숯수제돈까스, 전복흑돼지불짱뽕, 전복나가사끼짬뽕"
